customer,label,model,routine_weekly,routine_total_4w,forecast_total_4w,p_occurrence_week,rmsse,mase
"G.Skill International Ent. Co., Ltd",교체형,sba,82.36572442480039,329.46289769920156,876064.419264011,0.45759816922659174,0.13847933169814927,0.2246346576868625
GOLDKEY TECHNOLOGY CORPORATION,교체형,sba,5.792049114331722,23.16819645732689,389281.9988406261,0.16184572403036643,0.2061838038789933,0.38877312919208845
PATRIOT MEMORY INC.,교체형,tsb,0.00503229613338079,0.02012918453352316,251909.2599764488,0.13918278096333053,0.16056157803765514,0.35333713558783136
YHG SUPPLY CHAIN (HONG KONG),교체형,croston,0.0,0.0,2385926.944722727,0.4075986402027954,0.0951493160229659,0.19288014010181986
ALL-THE-WAY EXPRESS LIMITED,교체형,sba,0.0,0.0,1292891.0705532832,0.540704768782929,0.07354783829045304,0.10362299077603133
Patriot Memory Inc.,교체형,sba,0.0,0.0,202654.37342489246,0.5534106304244303,0.02419809828495861,0.03954579860092824
TEC LOGISTICS COMPANY,교체형,sba,0.0,0.0,710157.0408518873,0.1868188682698228,0.1017232127651768,0.26940930729839274
Eternal International (HK) Ltd.,교체형,sba,0.0,0.0,474200.6281333139,0.49608375423575457,0.05874749085946246,0.22261383575359864
MAX LOGISTICS LIMITED,교체형,tsb,0.0,0.0,3286020.4143898212,0.0666936056498295,0.9968503387914651,7.429196441821433
BANG TAI INTERNATIONAL LOGISTICS CO,교체형,sba,0.0,0.0,102577.07039331214,0.06557045005863207,0.09503765670738482,0.2551563655978603
SF Supply Chain (Hong Kong) Limited,교체형,sba,0.0,0.0,91070.1486322699,0.03743372617233374,0.023409989886266813,0.06586340039090245
REALTECH SEMICONDUCTOR TECHNOLOGY L,교체형,sba,0.0,0.0,55706.851153812466,0.025936911997020595,0.00015816396275491714,0.00046812471947028526
"SC GLOBAL TRANS (HK) CO., LIMITED",교체형,sba,0.0,0.0,73452.71573555839,0.03762672588663415,0.050495554163542226,0.13213083254798522
QC Supplies Limited,지속형,ma,0.0,0.0,84.0,0.89171974522293,0.023578612246627308,0.027091991771542753
